"name","name_alt1","name_alt2","name_alt3","name_alt4","abbreviation","type","uniqid","statements","appearances"
"Carpet Institute of Australia",NA,NA,NA,NA,"CMA","Business","814",3,4
"Cave Divers Association of Australia","Cave Divers Association",NA,NA,NA,NA,"Citizen","820",0,10
"CHOICE","Australian Consumers' Association","Australian Consumers Association",NA,NA,NA,"Citizen","10538",0,0
"Cement Industry Federation",NA,NA,NA,NA,NA,"Business","825",3,8
"Chartered Institute of Management Accountants",NA,NA,NA,NA,NA,"Professional","833",0,3
"Chartered Secretaries Australia","Governance Institute of Australia","Chartered Secretaries","Governance Institute",NA,NA,"Professional","835",16,142
"Mortgage and Finance Association of Australia","Mortgage Industry Association of Australia","Mortgage and Finance Association","Mortgage Industry Association",NA,NA,"Business","10532",38,163
"Club Managers' Association Australia","Club Managers' Association","Club Managers Association Australia","Club Managers Association",NA,NA,"Union","863",0,0
"Commercial Asset Finance Brokers Association of Australia","Commercial Asset Finance Brokers Association",NA,NA,NA,NA,"Professional","867",0,8
"Concrete Institute of Australia","Concrete Institute",NA,NA,NA,"CCF","Business","887",0,0
"Confederation of Australian Sport",NA,NA,NA,NA,"ACGA(NSW)","Business","890",0,0
"Consumer Electronics Suppliers' Association","Consumer Electronics Suppliers Association",NA,NA,NA,"CESA","Professional","897",2,0
"Consumers' Federation of Australia","Consumers' Federation","Consumers Federation of Australia","Consumers Federation",NA,"CFA","Citizen","899",1,12
"Convenience and Mixed Business Association Inc","Convenience and Mixed Business Association",NA,NA,NA,NA,"Business","902",0,0
"Copper Development Centre Australia Ltd","International Copper Association Australia","Copper Development Centre","International Copper Association",NA,NA,"Business","904",0,0
"Corporate Superannuation Association",NA,NA,NA,NA,NA,"Business","907",1,1
"Council of Small Business Organisations of Australia","Council of Small Business Organisations",NA,NA,NA,"COSBOA","Business","916",142,129
"Council of Textile and Fashion Industries of Australia","Council of Textile and Fashion Industries",NA,NA,NA,NA,"Business","917",0,0
"Cricket Australia",NA,NA,NA,NA,NA,"Business","922",85,1107
"Customer Service Institute of Australia","Customer Service Institute",NA,NA,NA,"CSIA","Professional","929",2,3
"Direct Selling Association of Australia","Direct Selling Australia","Direct Selling Association",NA,NA,NA,"Business","956",0,5
"Drycleaning Institute of Australia Ltd","Drycleaning Institute of Australia","Drycleaning Institute",NA,NA,NA,"Business","970",0,0
"Ecotourism Australia",NA,NA,NA,NA,"EA","Hybrid","979",0,0
"Eros Association",NA,NA,NA,NA,NA,"Business","998",2,18
"Meetings and Events Australia","Meetings Industry Association of Australia","Meetings Industry Association",NA,NA,"MEA","Business","10596",0,4
"Exercise and Sports Science Australia",NA,NA,NA,NA,NA,"Professional","1002",0,27
"Facility Management Association of Australia Ltd","Facility Management Association of Australia","Facility Management Association",NA,NA,NA,"Professional","1004",0,0
"Family Business Australia",NA,NA,NA,NA,"FBA","Business","1008",9,48
"Federation of Australian Astrologers Inc","Federation of Australian Astrologers",NA,NA,NA,NA,"Professional","1018",0,0
"Finance and Treasury Association","Australian Corporate Treasury Association",NA,NA,NA,NA,"Professional","1031",0,11
"Finance Brokers Association of Australia","Finance Brokers Association",NA,NA,NA,NA,"Professional","1032",42,132
"Finance Sector Union of Australia","Finance Sector Union",NA,NA,NA,NA,"Union","1033",72,30
"Financial Counselling Australia","Financial Counselling",NA,NA,NA,"FCAN","Professional","1034",207,504
"Financial Planning Association of Australia","Financial Planning Association",NA,NA,NA,NA,"Professional","1035",41,118
"Financial Services Accountants Association",NA,NA,NA,NA,NA,"Professional","1036",0,0
"Financiers Association of Australia Ltd","Financiers Association of Australia","Financiers Association","Financiers' Association of Australia","Financiers' Association",NA,"Professional","1037",0,0
"Financial Services Institute of Australia","Financial Services Institute",NA,NA,NA,NA,"Professional","1038",0,2
"Fitness Australia","AUSactive",NA,NA,NA,NA,"Business","1041",34,123
"Franchise Council of Australia","Franchise Council",NA,NA,NA,NA,"Business","1054",8,206
"Fund Executives Association",NA,NA,NA,NA,NA,"Professional","1065",1,2
"Fundraising Institute Australia","Fundraising Institute",NA,NA,NA,NA,"Professional","1066",8,20
"Furnishing Industry Association of Australia","Australian Cabinet and Furniture Association","Furnishing Industry Association",NA,NA,NA,"Business","1067",0,1
"Galvanizers Association of Australia","Galvanizers Association",NA,NA,NA,NA,"Business","1070",0,0
"Game Developers' Association of Australia","Game Developers' Association","Game Developers Association of Australia","Game Developers Association",NA,NA,"Business","1073",0,1
"Game Fishing Association of Australia","Game Fishing Association",NA,NA,NA,NA,"Citizen","1074",1,1
"Gaming Technologies Association",NA,NA,NA,NA,"GTA","Business","1075",5,22
"Gas Appliance Manufacturers Association of Australia","Gas Appliance Manufacturers Association",NA,NA,NA,NA,"Business","1077",7,11
"Golf Australia",NA,NA,NA,NA,"GA","Business","1093",4,75
"Graphic Arts Merchants Association of Australia Inc","Graphic Arts Merchants Association of Australia","Graphic Arts Merchants Association",NA,NA,NA,"Business","1099",0,0
"Gridiron Australia",NA,NA,NA,NA,NA,"Business","1103",0,1
"Gymnastics Australia",NA,NA,NA,NA,NA,"Business","1108",1,8
"Hair and Beauty Australia",NA,NA,NA,NA,NA,"Business","1112",0,9
"Hairdressing and Beauty Industry Association",NA,NA,NA,NA,NA,"Business","1113",0,2
"Harness Racing Australia",NA,NA,NA,NA,NA,"Business","1116",3,16
"Hire and Rental Industry Association",NA,NA,NA,NA,NA,"Business","1127",1,1
"Hockey Australia",NA,NA,NA,NA,NA,"Business","1131",0,30
"Human Factors and Ergonomics Society of Australia","Human Factors and Ergonomics Society",NA,NA,NA,NA,"Professional","1142",0,0
"Ice Hockey Australia (Australian Ice Hockey Federation Inc)","Ice Hockey Australia","Australian Ice Hockey Federation",NA,NA,NA,"Business","1146",0,1
"Insolvency Practitioners Association of Australia","Australian Restructuring Insolvency and Turnaround Association","Insolvency Practitioners Association",NA,NA,NA,"Professional","1159",0,84
"Institute of Actuaries of Australia","Institute of Actuaries",NA,NA,NA,NA,"Professional","1165",1,5
"Institute of Certified Management Accountants",NA,NA,NA,NA,NA,"Professional","1170",0,7
"Institute of Chartered Accountants in Australia","Chartered Accountants Australia and New Zealand","Institute of Chartered Accountants",NA,NA,NA,"Professional","1171",0,238
"Institute of Internal Auditors Australia","Institute of Internal Auditors",NA,NA,NA,NA,"Professional","1177",2,0
"Institute of Management Consultants",NA,NA,NA,NA,"IMC","Professional","1178",0,0
"Institute of Mercantile Agents Ltd","Institute of Mercantile Agents",NA,NA,NA,NA,"Professional","1179",0,5
"Institute of Public Accountants",NA,NA,NA,NA,NA,"Professional","1181",62,215
"Institution of Chemical Engineers",NA,NA,NA,NA,"IChemE","Professional","1184",0,0
"Insurance Council of Australia","Insurance Council",NA,NA,NA,NA,"Business","1185",245,1387
"Internet Society of Australia","Internet Australia","Internet Society",NA,NA,NA,"Citizen","1189",19,76
"Inventors Association of Australia","Inventors Association",NA,NA,NA,NA,"Professional","1191",0,0
"Jewellers Association of Australia","Jewellers Association",NA,NA,NA,"JAA","Business","1206",0,9
"Label and Tag Manufacturers Association of Australia","Flexible Packaging and Label Manufacturing Association","Label and Tag Manufacturers Association",NA,NA,NA,"Business","1216",0,0
"Liquor Merchants Association of Australia","Liquor Merchants Association",NA,NA,NA,NA,"Business","1231",0,0
"Martial Arts Industry Association",NA,NA,NA,NA,NA,"Business","1246",1,1
"National Amusement Machine Operators Association Ltd","National Amusement Machine Operators Association",NA,NA,NA,NA,"Business","1295",0,0
"National Association of Food Equipment Suppliers Ltd","National Association of Food Equipment Suppliers",NA,NA,NA,NA,"Business","1303",0,0
"National Association of Furniture Agents Inc","National Association of Furniture Agents",NA,NA,NA,NA,"Professional","1304",0,0
"National Association of Retail Grocers of Australia","National Association of Retail Grocers",NA,NA,NA,NA,"Business","1306",0,0
"National Basketball League",NA,NA,NA,NA,NA,"Business","1315",0,144
"National Cleaning Suppliers Association",NA,NA,NA,NA,NA,"Business","1321",0,0
"National Footwear Retailers Association","National Footwear Retailers' Association",NA,NA,NA,"NFRA","Business","1337",0,1
"National Funeral Directors' Association of Australia","National Funeral Directors' Association","National Funeral Directors Association of Australia","National Funeral Directors Association",NA,NA,"Professional","1339",0,0
"National Insurance Brokers Association of Australia","National Insurance Brokers Association",NA,NA,NA,NA,"Professional","1346",3,3
"National Interior Plantscape Association","Interior Plantscape Association",NA,NA,NA,NA,"Business","1347",0,0
"National Precast Concrete Association Australia","National Precast Concrete Association",NA,NA,NA,"tiolPrecast","Business","1351",1,1
"National Product Liability Association","Australian Insurance Law Association",NA,NA,NA,NA,"Business","1352",0,1
"National Retail Association",NA,NA,NA,NA,"NRA","Business","1353",248,562
"National Rifle Association of Australia Ltd","National Rifle Association of Australia","National Rifle Association",NA,NA,NA,"Citizen","1354",0,0
"National Rodeo Council of Australia","National Rodeo Council",NA,NA,NA,NA,"Business","1355",0,0
"National Rugby League",NA,NA,NA,NA,"NRL","Business","1357",11,291
"National Secretariat JCI Australia","JCI Australia","National Secretariat JCI",NA,NA,NA,"Service","1360",0,0
"National Vending Association",NA,NA,NA,NA,NA,"Business","1372",0,2
"Netball Australia",NA,NA,NA,NA,NA,"Business","1379",8,153
"Outdoor Council of Australia","Outdoor Council",NA,NA,NA,"OCA","Professional","1404",0,0
"Outdoor Power Equipment Association Inc","Outdoor Power Equipment Association",NA,NA,NA,NA,"Business","1406",0,0
"Packaging Council of Australia","Packaging Council",NA,NA,NA,"PCA","Business","1412",0,0
"Parks and Leisure Australia","Parks and Leisure",NA,NA,NA,NA,"Business","1418",0,4
"Philanthropy Australia",NA,NA,NA,NA,NA,"Citizen","1427",35,128
"Physical Activity Australia",NA,NA,NA,NA,"ACHPER","Citizen","1429",0,0
"Plastics and Chemicals Industries Association","Chemistry Australia",NA,NA,NA,NA,"Business","1435",15,30
"Print Council of Australia","Print Council",NA,NA,NA,NA,"Professional","1452",0,8
"Professional Golfers Association of Australia Ltd","Professional Golfers Association of Australia","Professional Golfers Association","Professional Golfers' Association of Australia","Professional Golfers' Association",NA,"Professional","1457",0,0
"Professional Tour Guide Association of Australia Inc","Professional Tour Guide Association of Australia","Professional Tour Guide Association",NA,NA,"PTGAA","Professional","1459",0,0
"Public Relations Institute of Australia","Public Relations Institute",NA,NA,NA,"PRIA","Professional","1471",2,32
"Pump Industry Australia Inc","Pump Industry Australia","Pump Industry",NA,NA,"PIA","Business","1476",0,0
"Professional Squash Coaches Association of Australia Inc","Professional Squash Coaches Association of Australia","Professional Squash Coaches Association",NA,NA,NA,"Professional","20157",0,0
"Refrigerants Australia",NA,NA,NA,NA,NA,"Business","1484",0,2
"Restaurant and Catering Australia","Restaurant and Catering",NA,NA,NA,NA,"Business","1495",106,311
"Australian Retailers Association","United Retailers Association",NA,NA,NA,NA,"Business","10682",836,2065
"Safety Institute of Australia","Australian Institute of Health and Safety","Safety Institute",NA,NA,NA,"Professional","1521",0,6
"Self-Managed Super Fund Professionals' Association of Australia","Self Managed Super Fund Association","Self-Managed Super Fund Professionals' Association","Self-Managed Super Fund Professionals Association",NA,NA,"Professional","1540",2,40
"Snow & Outdoor Trade Association","Outdoor Retailer Australia","Snow and Outdoor Trade Association",NA,NA,NA,"Business","1560",0,0
"Society of Consumer Affairs Professionals Australia","Society of Consumer Affairs Professionals",NA,NA,NA,NA,"Professional","1565",0,0
"Specialised Textiles Association",NA,NA,NA,NA,NA,"Business","1573",0,0
"Sporting Shooters Association of Australia","Sporting Shooters Association","Sporting Shooters' Association of Australia","Sporting Shooters' Association",NA,NA,"Citizen","1578",8,58
"Sports Contractors' Association","Sports Contractors Association",NA,NA,NA,NA,"Professional","1579",0,0
"Steel Reinforcement Institute of Australia","Steel Reinforcement Institute",NA,NA,NA,"SRIA","Business","1591",0,0
"Surface Coatings Association Australia","Surface Coatings Association",NA,NA,NA,NA,"Business","1602",0,0
"Surfing Australia",NA,NA,NA,NA,NA,"Business","1603",1,23
"Swimming Australia",NA,NA,NA,NA,NA,"Business","1609",21,135
"Taronga Foundation",NA,NA,NA,NA,NA,"Hybrid","1616",2,0
"Tarot Guild of Australia Inc","Tarot Guild of Australia","Tarot Guild",NA,NA,NA,"Professional","1617",0,0
"Tennis Australia",NA,NA,NA,NA,NA,"Business","1621",31,681
"Textile Institute Inc","Textile Institute",NA,NA,NA,NA,"Business","1625",0,0
"Thoroughbred Breeders Australia","Thoroughbred Breeders",NA,NA,NA,NA,"Business","1645",7,21
"Tourism, Hospitality & Catering Institute of Australia","Catering Institute of Australia","Tourism, Hospitality and Catering Institute","Catering Institute",NA,NA,"Business","1651",0,3
"Tractor and Machinery Association of Australia","Tractor and Machinery Association",NA,NA,NA,NA,"Business","1652",0,0
"Vinyl Council of Australia","Vinyl Council",NA,NA,NA,NA,"Business","1676",0,1
"Watch and Clockmakers of Australia","Watch and Clockmakers",NA,NA,NA,NA,"Professional","1682",0,5
"Australian Sports Organisation for the Disabled Inc","Disability Sports Australia","Australian Sports Organisation for the Disabled","Disability Sports",NA,NA,"Citizen","1688",0,2
"Wildlife Tourism Australia Inc","Wildlife Tourism Australia","Wildlife Tourism",NA,NA,NA,"Business","1692",0,3
"Amnesty International Australia","Amnesty International",NA,NA,NA,NA,"Citizen","10521",269,95
"Vietnam Veterans Association of Australia","Vietnam Veterans Association","Vietnam Veterans' Association of Australia","Vietnam Veterans' Association",NA,NA,"Citizen","10673",20,42
"Association for Children with a Disability",NA,NA,NA,NA,NA,"Citizen","10689",0,7
"Radical Women",NA,NA,NA,NA,NA,"Citizen","10667",0,0
"Chief Executive Women",NA,NA,NA,NA,NA,"Citizen","20095",59,637
"Association of Non-English Speaking Background Women of Australia","Association of Non-English Speaking Background Women",NA,NA,NA,NA,"Citizen","10646",0,0
"Coalition Against Trafficking in Women Australia","Coalition Against Trafficking in Women",NA,NA,NA,NA,"Citizen","10505",0,5
"Abortion Alternatives",NA,NA,NA,NA,NA,"Citizen","10721",0,1
"Family Law Council",NA,NA,NA,NA,NA,"Professional","10630",1,27
"Jewish Care",NA,NA,NA,NA,NA,"Service","10628",2,0
"Antioch",NA,NA,NA,NA,NA,"Service","10642",0,0
"Australian Student Christian Movement",NA,NA,NA,NA,NA,"Service","10555",0,0
"Youth with a Mission",NA,NA,NA,NA,NA,"Service","10736",0,0
"Riding for Disabled Association",NA,NA,NA,NA,NA,"Service","10515",0,0
"Australian Chinese Buddhist Society",NA,NA,NA,NA,NA,"Service","10551",0,0
"Preterm Foundation",NA,NA,NA,NA,NA,"Service","10598",0,0
"Armenian National Committee of Australia","Armenian National Committee",NA,NA,NA,NA,"Citizen","65",0,15
"Atheist Foundation of Australia","Atheist Foundation",NA,NA,NA,NA,"Citizen","104",0,13
"Australia Korean Welfare Association",NA,NA,NA,NA,NA,"Service","122",0,0
"Australian Arabic Council",NA,NA,NA,NA,NA,"Citizen","158",0,2
"Australian Association for Professional and Applied Ethics",NA,NA,NA,NA,NA,"Professional","166",0,1
"Australian Baha'i Community",NA,NA,NA,NA,NA,"Hybrid","191",0,0
"Australian Christian Lobby",NA,NA,NA,NA,NA,"Citizen","245",0,1131
"Australian Federation of Islamic Councils",NA,NA,NA,NA,NA,"Citizen","337",36,252
"Australian Federation of Ukrainian Organisations",NA,NA,NA,NA,NA,"Citizen","343",25,107
"Australian Greek Welfare Society","PRONIA",NA,NA,NA,"PRONIA","Hybrid","375",0,0
"Australian Sikh Association",NA,NA,NA,NA,NA,"Service","630",4,0
"Australian Turkish Association",NA,NA,NA,NA,NA,"Service","696",0,0
"Australian Women's and Gender Studies Association","Australian Womens and Gender Studies Association",NA,NA,NA,NA,"Professional","723",0,0
"Australians for Native Title and Reconciliation",NA,NA,NA,NA,NA,"Citizen","733",0,8
"Baptist Union of Australia","Baptist Union",NA,NA,NA,NA,"Citizen","746",0,1
"Catholic Womens League Australia Inc","Catholic Womens League Australia",NA,NA,NA,NA,"Citizen","818",0,0
"Christian Education National",NA,NA,NA,NA,NA,"Institutional","849",0,1
"Christian Venues Association",NA,NA,NA,NA,"FWAB","Service","850",0,1
"Church Missionary Society",NA,NA,NA,NA,NA,"Citizen","852",0,2
"Citizens Committee on Human Rights",NA,NA,NA,NA,NA,"Citizen","854",0,5
"Civil Liberties Australia",NA,NA,NA,NA,NA,"Citizen","859",13,91
"Country Women's Association of Australia","Country Women's Association","Country Womens Association of Australia","Country Womens Association",NA,NA,"Citizen","920",0,5
"EMILY'S List Australia","EMILYS List Australia","EMILYS List",NA,NA,NA,"Citizen","983",0,6
"Endeavour Forum",NA,NA,NA,NA,NA,"Citizen","986",1,10
"ESTIA Foundation of Australia","ESTIA Foundation",NA,NA,NA,NA,"Service","1000",0,0
"Executive Council of Australian Jewry",NA,NA,NA,NA,"MWA","Citizen","1001",5,772
"Federation of Australian Buddhist Councils",NA,NA,NA,NA,NA,"Citizen","1019",0,3
"Federation of Chinese Associations",NA,NA,NA,NA,NA,"Citizen","1022",0,24
"Federation of Ethnic Communities' Councils of Australia","Federation of Ethnic Communities' Councils","Federation of Ethnic Communities Councils of Australia","Federation of Ethnic Communities Councils",NA,"FECCA","Citizen","1023",3,25
"Hindu Council of Australia","Hindu Council",NA,NA,NA,"IBAQ","Citizen","1126",7,35
"Institute for the Study of Christianity in an Age of Science and Technology",NA,NA,NA,NA,NA,"Professional","1163",0,0
"Knights of the Southern Cross",NA,NA,NA,NA,NA,"Citizen","1213",0,7
"Lebanese Muslim Association",NA,NA,NA,NA,NA,"Hybrid","1222",23,0
"Lesbians Inc","Lesbians",NA,NA,NA,NA,"Service","1225",0,0
"Men's Rights Agency","Mens Rights Agency",NA,NA,NA,NA,"Citizen","1265",0,4
"MensLine Australia",NA,NA,NA,NA,NA,"Service","1266",0,0
"Muslim Aid Australia","MAA International",NA,NA,NA,NA,"Service","1291",0,0
"National Civic Council",NA,NA,NA,NA,NA,"Citizen","1320",0,30
"National Council of Churches in Australia","National Council of Churches",NA,NA,NA,NA,"Institutional","1322",2,10
"National Council of Jewish Women of Australia","National Council of Jewish Women",NA,NA,NA,"ECAJ","Citizen","1323",0,3
"National Council of Women of Australia","National Council of Women",NA,NA,NA,NA,"Citizen","1324",0,3
"National Ethnic and Multicultural Broadcasters Council",NA,NA,NA,NA,"NEMBC","Citizen","1332",0,2
"National Foundation for Australian Women",NA,NA,NA,NA,NA,"Citizen","1338",0,45
"National LGBTI Health Alliance",NA,NA,NA,NA,NA,"Citizen","1348",1,20
"National Woman's Christian Temperance Union","National Womans Christian Temperance Union",NA,NA,NA,NA,"Citizen","1373",0,0
"Oaktree Foundation",NA,NA,NA,NA,NA,"Citizen","1389",0,3
"Older People Speak Out",NA,NA,NA,NA,NA,"Citizen","1392",0,2
"Older Womens Network Australia",NA,NA,NA,NA,NA,"Citizen","1393",0,0
"Pagan Awareness Network Incorporated","Pagan Awareness Network",NA,NA,NA,NA,"Citizen","1413",0,0
"Polish Community Council",NA,NA,NA,NA,NA,"Citizen","1440",0,0
"Project Respect",NA,NA,NA,NA,NA,"Citizen","1461",0,3
"Rationalist Society of Australia","Rationalist Society",NA,NA,NA,NA,"Citizen","1479",0,25
"Right to Life Australia","Right to Life",NA,NA,NA,NA,"Citizen","1501",3,18
"The Foundation for Young Australians","Foundation for Young Australians",NA,NA,NA,NA,"Citizen","1636",18,173
"National Seniors Australia","National Seniors Association",NA,NA,NA,NA,"Citizen","10688",181,362
"Try Australia","Sparkways",NA,NA,NA,NA,"Service","1657",0,0
"Union of Australian Women",NA,NA,NA,NA,NA,"Citizen","1661",0,5
"Women and the Australian Church",NA,NA,NA,NA,"WATAC","Citizen","1699",0,1
"YMCA Australia","YMCA",NA,NA,NA,NA,"Service","1712",33,0
"Young Australia League",NA,NA,NA,NA,NA,"Service","1713",0,0
"Zionist Federation of Australia","Zionist Federation",NA,NA,NA,"ZFA","Citizen","1717",72,219
"Housing Industry Association",NA,NA,NA,NA,NA,"Business","1140",481,1873
"Able Australia",NA,NA,NA,NA,NA,"Service","3",8,0
"Amorphous Silica Association of Australia","Amorphous Silica Association",NA,NA,NA,NA,"Business","48",0,0
"Architectural Door Hardware Association",NA,NA,NA,NA,NA,"Business","63",0,0
"Association of Australian Acoustical Consultants",NA,NA,NA,NA,NA,"Professional","79",0,1
"Association of Consulting Architects",NA,NA,NA,NA,NA,"Professional","83",2,11
"Association of Hydraulic Services Consultants Australia Inc","Association of Hydraulic Services Consultants Australia","Association of Hydraulic Services Consultants",NA,NA,NA,"Professional","88",0,0
"Auctioneers and Valuers Association of Australia","Auctioneers and Valuers Association",NA,NA,NA,NA,"Business","106",0,1
"Australian Asphalt Pavement Association",NA,NA,NA,NA,NA,"Business","160",0,2
"Australian Constructors Association",NA,NA,NA,NA,"AAPA","Business","270",41,133
"Australian Institute of Architects",NA,NA,NA,NA,NA,"Professional","413",16,706
"Australian Institute of Building",NA,NA,NA,NA,NA,"Professional","414",1,70
"Australian Institute of Building Surveyors",NA,NA,NA,NA,NA,"Professional","415",18,61
"Australian Institute of Conveyancers",NA,NA,NA,NA,NA,"Professional","417",7,45
"Australian Institute of Quantity Surveyors",NA,NA,NA,NA,"AIBS","Professional","443",6,17
"Australian Property Institute",NA,NA,NA,NA,NA,"Professional","586",5,73
"Australian Renderers' Association","Australian Renderers Association",NA,NA,NA,NA,"Business","599",1,0
"Australian Stabilisation Industry Association",NA,NA,NA,NA,"AustStab","Business","668",0,0
"Australian Window Association",NA,NA,NA,NA,"AWA","Business","718",2,4
"Building Service Contractors Association of Australia Inc","Building Service Contractors Association of Australia","Building Service Contractors Association",NA,NA,NA,"Business","792",0,1
"Chartered Institution of Building Services Engineers",NA,NA,NA,NA,"CIBSE","Professional","834",0,1
"Civil Contractors Federation",NA,NA,NA,NA,NA,"Business","858",57,230
"Community Housing Federation of Australia","Community Housing Industry Association","Community Housing Federation",NA,NA,NA,"Institutional","881",34,127
"Concrete Masonry Association of Australia","Concrete Masonry Association",NA,NA,NA,NA,"Business","888",0,0
"Construction, Forestry, Mining and Energy Union",NA,NA,NA,NA,NA,"Union","894",16,600
"Consult Australia",NA,NA,NA,NA,"IESANZ","Business","896",11,58
"CSR and Holcim Staff Association","Salaried Staff United",NA,NA,NA,NA,"Union","927",0,0
"Custom Electronic Design & Installation Association","Custom Electronic Design and Installation Association",NA,NA,NA,"CEDIA","Business","928",0,0
"Electrical Trades Union",NA,NA,NA,NA,"CFMEU","Union","982",148,1048
"Habitat for Humanity Australia","Habitat for Humanity",NA,NA,NA,NA,"Service","1110",0,0
"Heating and Cooling Alliance of Australia","Heating and Cooling Alliance",NA,NA,NA,NA,"Business","1121",0,0
"Homelessness Australia",NA,NA,NA,NA,NA,"Citizen","1135",12,109
"Institute of Australian Geographers",NA,NA,NA,NA,"IAG","Professional","1168",1,2
"Institute of Public Works Engineering Australia","Institute of Public Works Engineering Australasia",NA,NA,NA,NA,"Professional","1183",0,10
"Lighting Council Australia","Lighting Council",NA,NA,NA,"ECA","Business","1230",2,7
"Mapping Sciences Institute",NA,NA,NA,NA,"MSIA","Professional","1242",0,0
"Master Builders Australia",NA,NA,NA,NA,NA,"Business","1247",143,825
"Master Plumbers and Mechanical Services Association of Australia","Master Plumbers and Mechanical Services Association",NA,NA,NA,NA,"Business","1250",0,1
"Metal Roofing & Wall Cladding Association","Metal Roofing and Wall Cladding Association",NA,NA,NA,NA,"Business","1269",0,0
"National Association of Women in Construction",NA,NA,NA,NA,NA,"Professional","1310",3,24
"National Electrical and Communications Association",NA,NA,NA,NA,"NECA","Business","1328",36,100
"Planning Institute Australia","Planning Institute",NA,NA,NA,NA,"Professional","1434",5,9
"Property Council of Australia",NA,NA,NA,NA,"PCA","Business","1462",399,2079
"Property Funds Association of Australia","Property Funds Association",NA,NA,NA,NA,"Business","1463",1,0
"Property Investors Association of Australia","Property Investors Association",NA,NA,NA,"PIAA","Professional","1464",0,0
"Real Estate Institute of Australia","Real Estate Institute",NA,NA,NA,NA,"Professional","1480",754,457
"Society for Responsible Design",NA,NA,NA,NA,NA,"Hybrid","1563",0,0
"Spatial Industries Business Association",NA,NA,NA,NA,NA,"Business","1571",0,3
"Surveying and Spatial Sciences Institute",NA,NA,NA,NA,"SSSI","Professional","1604",0,3
"The Crane Industry Council of Australia","Crane Industry Council of Australia","Crane Industry Council",NA,NA,NA,"Business","1633",1,1
"The Myer Foundation","Myer Foundation",NA,NA,NA,NA,"Service","1637",7,0
"The Window Coverings Association of Australia","Window Coverings Association of Australia","Window Coverings Association",NA,NA,NA,"Business","1644",0,0
"Timber and Building Materials Association Aust Ltd","Timber and Building Materials Association",NA,NA,NA,NA,"Business","1646",0,0
"Urban Development Institute of Australia","Urban Development Institute",NA,NA,NA,NA,"Business","1670",160,851
"Australian Federation of Totally and Permanently Incapacitated Ex Servicemen and Women","Australian Federation of Totally and Permanently Apacitated Ex Servicemen and Women",NA,NA,NA,NA,"Professional","341",0,0
"Australian Industry and Defence Network",NA,NA,NA,NA,NA,"Business","405",13,62
"Australian Institute of Professional Intelligence Officers",NA,NA,NA,NA,NA,"Professional","440",0,0
"Defence Force Welfare Association",NA,NA,NA,NA,NA,"Professional","947",1,23
"Legacy Australia",NA,NA,NA,NA,NA,"Hybrid","1223",2,0
"Naval Association of Australia","Naval Association",NA,NA,NA,NA,"Citizen","1376",2,25
"Navy League of Australia","Navy League",NA,NA,NA,NA,"Citizen","1378",0,0
"Returned and Services League of Australia","Returned and Services League",NA,NA,NA,NA,"Citizen","1498",0,28
"Royal Australian Regiment Association",NA,NA,NA,NA,NA,"Service","1512",1,0
"Royal Australian Armoured Corps Association",NA,NA,NA,NA,NA,"Citizen","10522",0,1
"Graduate Career Australia",NA,NA,NA,NA,NA,"Business","10611",0,0
"Australian Harness Racing Council",NA,NA,NA,NA,NA,"Business","10619",0,0
"Community Early Learning Australia","Community Early Learning",NA,NA,NA,NA,"Business","10550",0,16
"Australian Sign and Graphics Association",NA,NA,NA,NA,"DSAA","Business","20077",0,0
"Australian Society for Quality",NA,NA,NA,NA,NA,"Business","10677",0,0
"Baltic Council of Australia","Baltic Council",NA,NA,NA,NA,"Citizen","10530",0,0
"Australia-Britain Society","Australia Britain Society",NA,NA,NA,NA,"Citizen","10536",0,1
"Italian Australian Institute",NA,NA,NA,NA,NA,"Citizen","10568",0,0
"Australian Cinematographers Society",NA,NA,NA,NA,NA,"Professional","10557",0,19
"Australian and New Zealand Sports Law Association",NA,NA,NA,NA,"ANZSLA","Professional","20055",0,1
"Australasian Strength and Conditioning Association",NA,NA,NA,NA,NA,"Professional","20042",0,0
"Australian Institute of Professional Counsellors",NA,NA,NA,NA,NA,"Professional","10564",2,3
"Association of Principals of Catholic Secondary Schools of Australia",NA,NA,NA,NA,NA,"Professional","10617",0,0
"Medical Deans Australia and New Zealand",NA,NA,NA,NA,"PMCQ","Professional","20139",0,11
"Learning Links",NA,NA,NA,NA,NA,"Service","10583",0,0
"African Studies Association of Australasia and the Pacific",NA,NA,NA,NA,NA,"Service","10608",0,0
"Cretan Federation of Australia and New Zealand",NA,NA,NA,NA,NA,"Service","10615",0,0
"Turkish Islamic Association",NA,NA,NA,NA,NA,"Service","10554",0,0
"Adult Learning Australia","Adult Learning",NA,NA,NA,NA,"Citizen","13",1,5
"Arts Access Australia",NA,NA,NA,NA,NA,"Citizen","67",1,8
"Association for Tertiary Education Management",NA,NA,NA,NA,NA,"Professional","76",1,2
"Association of Australian Convention Bureaux",NA,NA,NA,NA,"AACB","Business","80",4,7
"Association of Feng Shui Consultants",NA,NA,NA,NA,NA,"Professional","84",0,0
"Association of Heads of Independent Schools of Australia","Association of Heads of Independent Schools",NA,NA,NA,NA,"Professional","86",8,56
"Association of Women Educators",NA,NA,NA,NA,NA,"Professional","100",0,0
"Assyrian Australian Association",NA,NA,NA,NA,NA,"Citizen","101",1,3
