"name","name_alt1","name_alt2","name_alt3","name_alt4","abbreviation","type","uniqid","statements","appearances"
"Australian Society of Soil Science Inc","Australian Society of Soil Science",NA,NA,NA,NA,"Professional","657",0,0
"Australian Society of Sugar Cane Technologists Ltd","Australian Society of Sugar Cane Technologists",NA,NA,NA,NA,"Professional","658",0,0
"Australian Society of Viticulture and Oenology Inc","Australian Society of Viticulture and Oenology",NA,NA,NA,NA,"Professional","659",0,12
"Australian Sugar Milling Council",NA,NA,NA,NA,NA,"Business","673",12,23
"Australian Superfine Wool Growers Association",NA,NA,NA,NA,NA,"Business","674",1,2
"Australian Table Grape Association",NA,NA,NA,NA,NA,"Business","676",4,10
"Australian Tea Tree Industry Association",NA,NA,NA,NA,NA,"Business","679",0,0
"Australian Texel Stud Breeders Association Inc","Australian Texel Stud Breeders Association",NA,NA,NA,NA,"Business","685",0,0
"Australian Vine Improvement Association",NA,NA,NA,NA,NA,"Business","705",0,0
"Australian Wagyu Association",NA,NA,NA,NA,NA,"Business","709",3,8
"Australian Walnut Industry Association",NA,NA,NA,NA,NA,"Business","710",1,2
"Australian White Suffolk Association",NA,NA,NA,NA,NA,"Business","716",0,0
"Australian Women in Agriculture",NA,NA,NA,NA,NA,"Business","720",1,6
"Australian Wool Growers Association","Australian Wool Growers' Association",NA,NA,NA,NA,"Business","726",4,7
"AUSVEG",NA,NA,NA,NA,NA,"Business","735",105,215
"Avocados Australia",NA,NA,NA,NA,NA,"Business","741",33,45
"Ayrshire Australia Ltd","Australian Ayrshires","Ayrshire",NA,NA,NA,"Business","742",0,0
"Barley Australia","Barley",NA,NA,NA,NA,"Business","747",2,2
"Beef Shorthorn Society of Australia","Beef Shorthorn Society",NA,NA,NA,NA,"Business","751",0,0
"Biodynamic Agriculture Australia",NA,NA,NA,NA,NA,"Business","759",3,3
"Birds Australia","Birdlife Australia",NA,NA,NA,NA,"Citizen","762",49,198
"Boer Goat Breeders Association","Boer Goat Breeders",NA,NA,NA,NA,"Business","771",0,0
"Brown Swiss Cattle Breeders of Australia Inc","Brown Swiss Cattle Breeders of Australia","Brown Swiss Cattle Breeders","Brown Swiss Cattle Breeders",NA,NA,"Business","790",0,0
"Cattle Council of Australia",NA,NA,NA,NA,NA,"Business","819",11,46
"Cherry Growers of Australia Inc","Cherry Growers of Australia",NA,NA,NA,NA,"Business","836",0,0
"Chestnuts Australia",NA,NA,NA,NA,NA,"Business","837",0,1
"Choose Cruelty Free","Cruely Free International",NA,NA,NA,NA,"Citizen","847",0,10
"Citrus Australia",NA,NA,NA,NA,NA,"Business","856",19,54
"Cotton Australia",NA,NA,NA,NA,NA,"Business","910",42,84
"CropLife Australia","CropLife",NA,NA,NA,NA,"Business","926",4,26
